,SPY_open,SPY_high,SPY_low,SPY_close,VBM,ATR,weekly_range
289,244.89,245.61,244.39,244.56,-168.51489769986804,1.9156428571428563,3.789999999999992
290,245.17,245.2,244.09,244.57,-162.99899362630018,1.8463571428571421,0.0
291,243.13,245.15,242.93,244.85,-157.1310803764311,1.9156428571428563,0.0
292,244.86,246.32,244.62,246.01,-156.70529114726938,1.7834999999999976,0.0
293,246.75,247.77,246.0473,247.49,-151.65894566792602,1.8342142857142838,0.0
294,247.98,248.33,247.67,247.84,-157.5121266589518,1.7034999999999993,5.400000000000006
295,249.62,250.12,249.28,249.72,-154.6001128862057,1.4071428571428604,0.0
296,250.0,250.07,249.6,249.97,-158.5864721551445,1.2821428571428604,0.0
297,250.07,250.19,248.92,250.06,-164.72232969640677,1.2514285714285762,0.0
298,249.87,249.98,249.185,249.39,-162.63735697350776,1.1882142857142892,0.0
299,249.06,249.63,249.02,249.44,-165.91006423982864,1.1717857142857164,1.2700000000000102
300,249.16,249.5532,248.08,248.93,-177.21481629971154,1.0705857142857147,0.0
301,249.45,249.7,248.805,249.08,-182.23712927014182,1.0473714285714277,0.0
302,249.89,250.49,248.87,250.05,-184.1183581766134,1.1009428571428563,0.0
303,249.73,250.44,249.63,250.35,-195.80438558402076,1.1009428571428563,0.0
304,250.37,251.32,250.13,251.23,-195.8340892323693,0.991657142857142,3.2399999999999807
305,251.5,252.32,251.2926,252.32,-196.87534368775425,1.0066571428571425,0.0
306,252.48,252.89,252.23,252.86,-200.90894212732738,1.009514285714285,0.0
307,252.72,253.44,252.56,253.16,-203.00032970656108,1.020942857142856,0.0
308,253.54,254.68,253.196,254.66,-206.76453805052634,1.020942857142856,0.0
309,254.16,254.7008,253.85,254.37,-213.02593852103735,1.0152857142857121,3.4081999999999937
310,254.65,254.7,253.65,253.95,-217.37399262395851,1.0567142857142824,0.0
311,254.59,255.05,253.98,254.62,-214.95938261575947,1.0445714285714263,0.0
312,254.53,255.02,254.32,255.02,-230.81962418659052,1.0320714285714274,0.0
313,254.68,255.06,254.365,254.64,-235.9953781355995,1.0381428571428566,0.0
314,255.15,255.27,254.64,254.95,-239.71943284817007,0.9779142857142874,1.6200000000000045
315,255.2,255.51,254.82,255.29,-241.06161925271053,0.9632714285714314,0.0
316,255.24,255.52,254.98,255.47,-264.3888179834488,0.8861285714285755,0.0
317,255.92,255.95,255.5,255.72,-270.91632131943527,0.862557142857146,0.0
318,254.83,255.83,254.35,255.79,-262.56333589235874,0.8832714285714331,0.0
319,256.73,257.14,255.7744,257.11,-255.15109511470916,0.9029571428571452,2.789999999999992
320,257.51,257.51,256.02,256.11,-259.553077911735,0.9622428571428604,0.0
321,256.56,256.83,256.15,256.56,-260.6553075779382,0.9508142857142872,0.0
322,256.23,256.31,254.0,255.29,-241.07015702194204,1.0251000000000008,0.0
323,256.01,256.3,255.48,255.62,-244.36604581872623,1.0364714285714314,0.0
324,256.47,257.89,255.6254,257.71,-231.1723914361022,1.1236142857142883,3.8899999999999864
325,257.09,257.6,256.41,256.75,-225.86413297740629,1.137899999999998,0.0
326,257.21,257.44,256.805,257.15,-232.32012557271372,1.1371857142857107,0.0
327,258.1,258.43,257.07,257.49,-228.8702463184402,1.1846857142857121,0.0
328,257.43,257.75,256.19,257.59,-229.5844747903554,1.251114285714282,0.0
329,257.82,258.5,257.3,258.45,-226.18374631207595,1.2875428571428529,2.3100000000000023
330,258.31,259.0,258.22,258.85,-229.1823908145403,1.3046857142857067,0.0
331,259.0,259.35,258.09,258.67,-230.3736989189152,1.3603999999999965,0.0
332,258.46,259.22,258.15,259.11,-224.97589858946887,1.3311142857142844,0.0
