,SPY_open,SPY_high,SPY_low,SPY_close,ATR,VBM,MI,KAMA,KC Upper,KC Lower,DYMI,weekly_range
814,322.57,329.58,321.64,328.73,7.198285714285703,-56.43969767165603,27.690540694902108,339.10845996319733,347.0686531220714,320.62225312207147,30.227666319873535,11.399999999999977
815,333.22,334.96,332.15,334.19,6.946142857142844,-52.79749396745474,27.722857439584896,339.02123143544827,347.08346711044555,320.6730671104456,44.586721863174596,0.0
816,334.0,334.77,331.6209,332.37,6.51036428571427,-52.82451875801421,27.633795873717354,338.7822242928252,346.8576426237364,320.61160262373653,49.46074623316159,0.0
817,333.1,338.29,332.88,334.89,6.241792857142847,-53.0516014606405,27.61481306833775,338.7208060552252,347.2436785643329,320.445638564333,50.15570292685391,0.0
818,337.63,338.74,335.01,337.04,6.090364285714275,-52.64868454968918,27.49989812553772,338.7090641445575,347.1521967963012,321.1457567963013,54.10776048585159,0.0
819,331.71,337.0126,331.19,333.84,6.056792857142848,-52.07722212868301,27.403383253950718,338.6412591542368,346.71877043474876,321.52033043474876,49.7747106337222,7.550000000000011
820,336.01,339.96,336.01,339.76,6.239649999999991,-49.48487658196822,27.311934751966085,338.72064933674125,346.69595610762985,322.61751610762985,47.9421625286864,0.0
821,339.87,342.17,334.38,334.93,6.471792857142849,-47.24335537491005,27.35768390339015,338.6517383243321,347.2719812402365,322.0935412402365,58.03905477196167,0.0
822,338.12,341.63,338.09,340.76,6.534007142857133,-44.23564077922549,27.29889772876975,338.9144666863969,347.3707658840235,323.1523258840235,51.79155345387085,0.0
823,342.88,343.85,341.86,343.78,6.192578571428568,-44.84235017700531,27.028351582632876,339.5804112082299,347.40064722840225,324.7450072284022,62.53571541186647,0.0
824,345.53,347.35,344.89,346.85,5.810435714285717,-42.84115460279127,26.283586557807702,340.4863363019646,347.55304463522106,326.64540463522104,68.31521313211505,12.970000000000027
825,349.55,354.02,349.06,352.43,5.9625785714285735,-44.225873119172476,25.50059705937351,341.983114764084,349.2011184794857,327.9174784794857,74.39243543040271,0.0
826,352.31,352.4651,349.09,350.13,5.5536571428571495,-48.84510196821084,24.820882178979794,342.940837682087,350.34829005286804,328.974250052868,80.83165020945867,0.0
827,350.73,351.93,347.14,347.93,5.396014285714293,-52.52609692838618,24.387253307593845,343.30618344211274,350.90978814307107,329.98774814307103,75.15021088146916,0.0
828,343.72,348.02,343.13,347.5,5.17815714285715,-53.46965711181499,24.016718393963846,343.543033477129,351.7893340342072,330.4512940342071,68.35266867320996,0.0
829,348.99,350.75,347.1,347.29,4.9938714285714365,-56.56566610582729,23.75244682591462,343.8963459013278,351.93692317380646,331.4788831738065,64.91194353640148,10.889999999999986
830,348.57,349.33,341.04,342.01,5.361078571428578,-57.34844590043724,23.718496297090457,343.8751967831032,352.39969430011064,331.0736543001106,66.15784615206735,0.0
831,343.42,346.88,342.64,343.38,5.286078571428577,-56.55123199029917,23.753404149476935,343.8470918689423,351.9722015096239,331.8141615096239,52.401131612275755,0.0
832,343.36,348.6847,342.4,342.73,5.459985714285722,-57.67525616680796,23.87523045261477,343.832646095267,351.9688385087074,331.97691850870734,53.39484732401447,0.0
833,342.92,345.24,340.65,344.61,5.369985714285723,-55.68069509840008,23.987782976014334,343.8384321370745,352.51999293644957,331.9280729364495,54.672153646076794,0.0
834,345.91,345.99,343.13,345.78,5.137128571428581,-58.62252603825639,23.95948861077732,343.8559899245893,352.7166564663115,332.40873646631155,56.1866631898609,8.680000000000007
835,342.14,342.98,335.62,339.39,5.306414285714291,-59.87212616215122,24.046755521944387,343.05544089681587,353.0124948980914,331.5085748980914,61.71965427894761,0.0
836,339.74,340.12,337.99,338.22,4.97998571428572,-64.00347908222585,24.040977369122746,342.24206383326526,352.37866205065416,331.3727820506541,40.2419118800392,0.0
837,332.11,338.2483,326.13,326.66,5.624864285714287,-64.91238030104788,24.191281872306075,338.50262439132945,352.3952056648775,328.45800566487753,21.40977010919049,0.0
838,326.99,333.395,325.09,329.98,5.96307857142857,-63.88832112719422,24.356208578849028,337.2445811077095,352.08329083965106,326.7800908396511,9.07086229862685,0.0
839,328.28,329.69,322.6,326.54,5.978078571428573,-63.56113169729438,24.462535793276093,335.45052937758174,351.60151075968434,324.8063107596843,24.58173140628034,20.379999999999995
840,330.2,332.36,327.24,330.2,6.152714285714284,-63.67680369944181,24.60376613478787,335.06779846557197,350.34523354447623,324.53803354447626,20.01749418054422,0.0
841,333.72,338.25,330.2935,336.03,6.385571428571426,-61.8303639530364,24.83449537837128,335.0982146863898,350.84679225452606,323.76759225452605,30.34534908250106,0.0
842,340.8,347.94,339.59,343.54,6.8870000000000005,-55.48992654188999,25.062999697830524,335.14587130361065,352.5654529921903,323.2361329921902,42.61723801133076,0.0
843,349.28,352.19,348.86,350.24,7.244142857142857,-53.92180970288373,25.1997317244368,335.40615392596504,354.5526155643626,323.59929556436265,69.33136214750633,0.0
844,349.97,351.51,347.65,350.16,6.9277142857142895,-53.723013857503155,25.227836104387485,335.6102851321279,355.8082388439471,324.45491884394715,64.20700330918888,24.94999999999999
845,364.36,364.38,354.06,354.56,7.59557142857143,-50.99040043224718,25.407082267421,336.85351476401473,357.99437419214263,325.01705419214267,63.564764741033336,0.0
846,353.52,355.18,350.51,354.04,7.480235714285714,-51.8668905528653,25.417651009433108,338.07974311745346,359.6961156976529,325.70279569765285,68.12257051235733,0.0
847,356.43,357.56,355.06,356.67,7.403807142857139,-50.78039401393739,25.385483764032063,343.4792600048465,359.3069837264478,328.75298372644784,61.009486981367466,0.0
848,355.57,356.7182,351.26,353.21,7.589392857142855,-51.343556044581746,25.4538675270736,345.2818702194292,359.6119109905957,330.1966309905956,62.06125244150982,0.0
849,355.3,358.9,354.71,358.1,7.270107142857142,-46.16105358810641,25.541284919803445,349.06747077224276,360.5306470867294,331.7913670867294,59.98648716762906,13.870000000000005
850,368.97,369.62,367.72,369.09,3.611071428571433,-66.41385895917989,22.896314359611047,362.415368409523,367.12791564305917,353.32591564305915,69.80673804914011,0.0
851,367.67,370.78,367.67,370.17,3.531071428571429,-68.97549180755983,22.66832263845741,364.14487261194716,367.90587605800596,354.4418760580059,69.74269146782245,0.0
852,370.91,371.05,365.95,366.85,3.5196428571428595,-69.04177853022864,22.555734460998263,364.25131936001964,368.1964592905768,355.23245929057674,79.29535970966688,0.0
853,365.39,367.86,364.43,366.73,3.476785714285715,-72.50867418696515,22.431621804102505,364.3699264963471,369.0121298343314,355.3721298343314,63.25522334173408,0.0
854,364.93,366.7402,363.26,366.3,3.5446571428571474,-80.4274742019216,22.435644389348383,364.42437200004775,369.7793955643951,355.3873155643951,66.66632442960054,7.7900000000000205
855,377.84,380.58,377.7189,378.69,5.125971428571428,-80.49113257029295,25.759263113469892,371.51168090531496,381.61212785189207,361.99248785189207,80.04693174208234,0.0
856,378.84,379.86,376.36,378.77,4.202399999999999,-80.05809763928659,25.868081675908336,371.9118057057595,382.25771758028327,362.6740775802833,68.20403316491104,0.0
857,378.65,380.86,377.85,379.79,4.252992857142853,-80.5758818959357,25.965009801004307,372.5145711642905,382.92325114406583,363.40361114406585,64.74610086064287,0.0
858,380.63,381.13,378.1,378.46,4.29779285714285,-81.66529597497392,25.991273816198785,372.81251146678545,383.7056862732024,363.6300462732025,64.2946280151055,0.0
859,376.71,377.58,373.7,375.7,4.524935714285708,-80.81959636419658,25.901453439060603,372.84606568206806,384.1656228186117,363.55718281861175,64.6467860443405,7.430000000000007
860,373.84,377.34,370.376,376.23,5.187500000000004,-79.31995775799021,25.26200295270136,376.37358006112595,388.57519900677846,365.2451990067784,33.361755098676795,0.0
861,379.68,383.22,376.3181,381.55,5.436785714285719,-74.93329832215046,25.534498226339764,376.4333124019464,389.7090848156567,364.99508481565664,45.826524795643,0.0
862,382.43,383.7,380.48,381.85,5.451785714285718,-72.85411963989594,25.758540773115964,376.4862588083909,389.5534576903561,366.00745769035603,53.3809436070193,0.0
863,383.03,386.24,381.9655,386.19,5.548928571428576,-72.72054451136194,25.917117709369997,376.5721025074181,390.8923664817507,366.2703664817507,54.639987721559194,0.0
864,388.27,388.47,386.1444,387.71,5.375042857142863,-74.95329555513248,26.037341744578892,376.7823408979246,391.74588015015536,367.15564015015536,62.215673745753264,18.09400000000005
865,389.3,390.56,388.35,390.51,5.326471428571433,-73.86127138956347,26.03970089302809,377.1077445308018,392.10714108823584,368.90090108823586,62.68747606400424,0.0
866,389.55,390.89,389.17,390.25,5.010757142857143,-74.33480760489627,25.632265875132738,377.44299560778654,392.9173295560229,369.9470895560229,63.67898972745024,0.0
867,392.1,392.28,387.5,390.08,5.230757142857142,-78.4609659443613,25.355774280981166,379.10488257586775,392.34092864592543,372.1706886459255,62.29754789760473,0.0
868,391.34,391.69,388.1,390.71,5.315399999999995,-78.6206077587003,25.005009650485206,380.41151598567774,392.36008972726586,373.76184972726594,62.41065474228999,0.0
869,389.88,392.9,389.77,392.64,5.088257142857137,-77.23560216410618,24.747685401086766,385.492006360701,392.0263783246691,375.92013832466915,62.72667734427231,5.399999999999977
870,385.65,390.92,380.572,389.58,5.3340071428571365,-71.81470184934663,26.33709892497387,388.23048609024625,398.62794470945477,374.04550470945475,22.24515430405181,0.0
871,389.87,390.07,386.0,386.54,5.501864285714281,-71.76038308065121,26.508817826824274,388.1833687468868,398.93330426093524,373.7788642609352,54.849207520439194,0.0
872,385.83,386.83,381.31,381.42,5.554721428571424,-73.79979294596569,26.675381990078904,387.81186374741395,398.901200997989,372.870760997989,45.68679923060677,0.0
873,381.22,384.0,371.88,376.7,6.16400714285714,-69.73030086454428,26.74887435846954,387.0267716169322,399.5203456648471,370.5019056648472,37.90769404139152,0.0
874,380.41,384.76,372.64,383.63,6.806149999999998,-68.42343160904201,26.84813501814531,386.95584331289604,401.24680988724265,368.5123698872427,31.194423504583,19.04000000000002
875,384.69,387.68,381.42,381.72,7.064721428571423,-68.74778811113462,26.74085122040506,386.86403762672523,401.53989656464813,367.6174565646482,43.89096915717227,0.0
876,385.88,389.91,381.7299,387.17,7.411864285714278,-68.10016153150269,26.617031398695648,386.8654662591501,401.6756892727769,367.9752492727769,41.575946184229736,0.0
877,389.59,391.4,388.1702,389.58,7.381864285714276,-68.02098778117026,26.38424561046219,386.88783676153986,401.5825017229886,368.9740617229886,50.37206037541023,0.0
878,392.24,395.65,391.74,393.53,7.613292857142848,-67.91361645338293,26.218770631801295,387.19579415627504,401.3621596541325,370.7661596541325,53.81802454607009,0.0
