,VBM,ATR,weekly_range
121,-160.28260110200912,1.264642857142856,0.0
122,-161.1974002774986,1.279285714285712,0.0
123,-159.37431634215727,1.3492857142857113,0.0
124,-158.64199945241936,1.3785714285714252,2.8400000000000034
125,-121.09821240799184,2.313928571428566,0.0
126,-119.78184845961722,2.311785714285709,0.0
127,-115.88781275221974,2.3899999999999966,0.0
128,-114.59912245712022,2.390714285714284,0.0
129,-115.61746445023043,2.37642857142857,4.5
130,-113.0862944162437,2.4278571428571434,0.0
131,-105.29201841903304,2.509285714285716,0.0
132,-105.52309425460015,2.59857142857143,0.0
133,-100.12363636363644,2.4250000000000034,0.0
134,-97.7268659387865,2.277857142857146,3.5
135,-99.4351851851852,2.0892857142857184,0.0
136,-99.39715161348482,2.087857142857146,0.0
137,-98.87350319618265,1.9785714285714318,0.0
138,-98.69712230215836,1.878214285714287,0.0
139,-100.21532164783349,1.8967857142857167,2.3100000000000023
140,-101.02751313329183,1.928928571428573,0.0
141,-97.57534128960255,1.9982142857142853,0.0
142,-95.80543879214211,1.9696428571428564,0.0
143,-94.73615635179155,2.055357142857141,0.0
144,-94.32578067067642,2.033928571428569,5.489999999999981
145,-99.59360932121103,1.9739285714285688,0.0
146,-105.24530744336566,1.9610714285714275,0.0
147,-110.30518402811676,1.833214285714283,0.0
148,-111.08317636561912,1.7603571428571396,0.0
149,-115.82327011788819,1.764642857142854,2.469999999999999
150,-118.83598776500362,1.7046428571428558,0.0
151,-120.58124798625273,1.6724999999999994,0.0
152,-121.34258567310769,1.6857142857142853,0.0
153,-121.4015077023927,1.644999999999998,0.0
154,-120.7321447866019,1.6849999999999983,3.609999999999985
155,-121.17061456172918,1.4885714285714269,0.0
156,-118.52123265911271,1.6371428571428563,0.0
157,-118.88399787347169,1.5921428571428566,0.0
158,-121.7398008352073,1.5992857142857133,0.0
159,-126.06633608815443,1.6199999999999986,4.810000000000002
160,-117.28554913294815,1.8135714285714255,0.0
161,-114.15871060466087,1.9099999999999986,0.0
162,-108.15716096324472,2.1485714285714272,0.0
163,-103.86244685876248,2.2749999999999977,0.0
164,-103.11086057872987,2.2935714285714255,7.009999999999991
165,-103.56057728826438,2.3328571428571405,0.0
166,-102.0459290187892,2.347142857142856,0.0
167,-107.82429457674606,2.298571428571429,0.0
168,-105.89327983951856,2.2250000000000005,0.0
169,-108.12083591971859,2.2357142857142884,3.5500000000000114
170,-122.9642069721995,1.3965785714285712,0.0
171,-121.48957829141708,1.4701499999999998,0.0
172,-126.24031821496206,1.602649999999999,0.0
173,-127.52349037687249,1.67907857142857,0.0
174,-136.07750181356752,1.7490785714285713,3.670000000000016
175,-147.8201894963176,1.2931214285714288,0.0
176,-147.5160571503473,1.3259785714285701,0.0
177,-144.68883426057707,1.3595499999999987,0.0
178,-143.96220190172306,1.4641928571428562,0.0
179,-145.10403750151602,1.4656214285714262,2.494999999999976
180,-160.50956454947328,1.4735714285714303,0.0
181,-157.1481788190395,1.4621428571428592,0.0
182,-154.49772653927582,1.47214285714286,0.0
183,-150.26810720173222,1.4103571428571473,0.0
184,-147.01352295572795,1.475357142857147,3.230000000000018
185,-152.008855383921,1.4432142857142907,0.0
186,-153.5950412135974,1.445757142857147,0.0
187,-156.79020689767023,1.4093285714285742,0.0
188,-160.43165665273776,1.4314714285714294,0.0
189,-164.12908736442455,1.4054000000000022,3.460000000000008
190,-160.19516376834162,1.3009857142857137,0.0
191,-164.0189985346871,1.3123714285714303,0.0
192,-152.9895515936189,1.510228571428574,0.0
193,-157.24344577261624,1.500228571428575,0.0
194,-163.15910635592252,1.4795142857142898,4.305000000000007
195,-162.2466316117721,1.4688000000000037,0.0
196,-161.68095283957723,1.4302285714285756,0.0
197,-168.45041986976804,1.3938000000000028,0.0
198,-169.2205916402966,1.4077285714285739,0.0
199,-169.35172551499195,1.427014285714289,2.3799999999999955
200,-172.65613523622247,1.3570142857142895,0.0
201,-174.55418459198359,1.4220142857142914,0.0
202,-165.4196458511362,1.5077285714285762,0.0
203,-164.1204850416764,1.4875000000000032,0.0
204,-168.09496390603823,1.522500000000002,3.25
205,-146.13584554547555,1.8432142857142841,0.0
206,-144.07339449541274,1.7349999999999994,0.0
207,-138.535148404374,1.8599999999999994,0.0
208,-141.69160305343516,1.871785714285713,0.0
209,-143.2163342381683,1.8946428571428555,3.4799999999999898
