,SPY_high,SPY_low,KC Upper,KC Lower,BBANDS Upper,BBands Lower,weekly_range
51,208.5,206.64,210.84026801536353,202.70426801536357,210.99472713952525,204.58127286047477,0.0
52,208.54,206.5,210.87033733992678,202.6223373399268,210.96584513335193,204.4561548666481,0.0
53,207.4899,205.37,210.71561829233255,202.73965829233256,210.92914732394928,204.3458526760507,0.0
54,206.86,204.38,210.54241230187282,202.53045230187283,211.02207107645972,203.94492892354026,4.159999999999997
55,207.34,204.89,210.71646665729023,202.4085066572902,210.81075483943536,203.9122451605647,0.0
56,206.8,204.23,210.51651388201267,202.27655388201268,210.5153927374397,203.69860726256036,0.0
57,206.3,203.63,210.56693794138806,201.94297794138805,210.09010377560034,203.6078962243997,0.0
58,204.54,202.78,210.49903560892795,201.62707560892795,209.90592337136806,203.3260766286319,0.0
59,206.1,204.86,210.43845847870466,201.57849847870466,209.57412392714278,203.31087607285727,4.560000000000002
60,205.84,204.985,210.3206504612458,201.53469046124582,209.280751869472,203.26124813052803,0.0
61,208.24,206.14,210.59963535210179,201.62567535210175,209.0456758762228,203.3833241237772,0.0
62,209.77,207.8691,210.8715641111386,201.95324411113862,209.01180087387607,203.40519912612396,0.0
63,209.71,208.97,210.87440415560388,202.50804415560384,209.39887843431237,203.21012156568767,0.0
64,210.25,209.47,210.8955271744096,203.1571671744096,210.05322240701094,202.94677759298906,5.264999999999986
65,211.77,210.51,211.61684356416555,205.28644356416555,212.47576358923143,202.84423641076856,0.0
66,212.34,211.5,211.94521160831016,205.57681160831015,213.01141098518818,202.88958901481183,0.0
67,212.52,211.6899,211.84085032315795,206.37241032315796,213.58252098892558,202.7114790110744,0.0
68,212.22,211.19,211.980039428971,206.79195942897098,214.06681527347155,202.7811847265284,0.0
69,210.86,209.43,212.41537292894833,206.47929292894833,214.2120485438433,202.98395145615672,3.0900000000000034
70,210.37,208.35,212.53953153559368,206.15945153559366,214.09468760971075,203.47131239028923,0.0
71,208.74,206.9199,212.4815997810522,205.9774797810522,214.0889807425495,203.60501925745046,0.0
72,209.36,207.53,212.3915481861903,205.7914281861903,213.9155455409994,204.07445445900055,0.0
73,208.57,205.59,212.57891017708337,205.46283017708336,213.71251299866682,204.62148700133318,0.0
74,207.2,205.75,212.44968418268633,205.1176041826863,213.39973301403538,205.1632669859646,4.780000000000001
75,209.61,207.75,212.6844798912742,204.71639989127422,213.17977205937333,205.62522794062667,0.0
76,208.92,207.78,212.69481892412136,204.65073892412136,212.81688528314464,206.31311471685535,0.0
77,209.5,207.93,212.78158183341642,204.44154183341644,212.80807162533515,206.33792837466487,0.0
78,210.87,209.27,213.32467134255458,204.3286313425546,212.9355614510421,206.37143854895785,0.0
79,210.8463,202.72,213.89013275444637,202.67809275444637,213.73668494187024,204.94931505812974,8.150000000000006
80,201.6,198.65,213.54840722272175,201.35236722272177,214.99108583434065,202.6269141656594,0.0
81,203.23,201.12,213.5214929796235,200.57349297962352,215.09615249487223,201.83584750512773,0.0
82,206.93,204.72,213.86535077507207,200.16535077507208,214.90195964508797,201.671040354912,0.0
83,209.54,206.56,214.10484128541466,200.40484128541468,214.7445903509237,201.68940964907634,0.0
84,210.49,209.29,214.06628507100055,200.92628507100056,214.69110187392548,201.69389812607457,11.840000000000003
85,214.07,212.95,214.42434482398136,203.35254482398136,214.39652966028478,201.61847033971526,0.0
86,215.3,214.25,214.48039782811804,204.460597828118,215.4514014121955,201.22159858780455,0.0
87,215.45,214.35,214.48035052117234,205.50055052117233,216.3771376785286,200.97986232147136,0.0
88,216.67,215.66,214.66916486399623,206.47736486399623,217.46132724550893,200.72867275449113,0.0
89,217.0125,215.308,214.91565876959248,207.23405876959248,218.3501506992507,200.58884930074927,4.0625
90,216.6,215.67,215.36976753438302,207.79616753438302,219.24576894902867,200.68123105097135,0.0
91,216.23,215.63,215.54758020954543,208.4939802095454,220.00449155721293,200.7495084427871,0.0
