,SPY_high,SPY_low,BBANDS Upper,BBands Lower,APZ Upper,APZ Lower,weekly_range
572,286.69,285.1,296.62800584793854,280.60799415206145,292.1324866338388,281.0937937908008,0.0
573,283.21,280.57,296.4580468989781,279.7869531010219,291.3384035186018,280.24045764504865,0.0
574,284.2,282.09,295.8623351560048,279.3196648439952,290.7520670306488,279.6271182052116,6.360000000000014
575,276.5521,273.09,292.9747856225277,274.44521437747227,285.09261153946926,273.8410702690757,0.0
576,280.68,276.62,291.3962963473283,274.7947036526717,285.01904515734265,273.7181457156806,0.0
577,282.99,280.32,290.8298924977979,274.86410750220205,285.3870147162683,274.050454797869,0.0
578,285.55,282.57,290.4457548353782,274.97524516462187,286.03965885822106,274.6688056525878,0.0
579,288.85,285.74,290.61343907234135,274.90656092765863,287.1148221254694,275.7067914362182,15.760000000000048
580,290.82,288.8734,290.78998931500985,274.8170106849901,288.26907588248895,276.8602508323077,0.0
581,291.4,288.1805,291.5800491001843,274.83095089981566,289.2698634843028,277.84823999575104,0.0
582,289.26,287.815,292.1453249288067,274.76467507119327,290.0292758537001,278.64370013086324,0.0
583,289.98,288.62,292.7728862613481,274.58911373865175,290.8723499122624,279.56570272078363,0.0
584,289.93,288.41,293.0212332193885,274.49676678061144,291.528011531634,280.3297899626948,3.5849999999999795
585,290.22,289.18,293.49448359493505,274.3765164050648,292.0874177333326,281.0369712373099,0.0
586,293.57,290.99,294.63935481548623,274.0766451845138,293.09579130718816,282.1735097185016,0.0
587,293.65,291.47,295.65006776693014,273.72093223306973,294.07398606816633,283.275826564788,0.0
588,296.3093,293.1255,297.2477524988811,273.1462475011189,295.41260664692385,284.7010187801919,0.0
589,295.52,293.76,298.3632598461063,273.21674015389374,296.22888310336043,285.6191857451521,7.129300000000001
590,294.58,293.47,299.2910539474519,273.374946052548,296.8409389921232,286.366437900118,0.0
591,293.73,290.64,299.62296092739444,274.10403907260553,296.87155593331465,286.49320465711367,0.0
592,292.31,290.345,299.65661908035565,275.29038091964435,296.8284992241066,286.55042342605964,0.0
593,292.06,290.89,299.72437079389647,276.4696292061036,296.93846476009907,286.7895263472871,0.0
594,293.55,292.01,299.0983109746271,278.8686890253729,297.2701845025713,287.2609376346876,4.234999999999957
595,298.2579,296.22,299.4563077228137,286.07669227718634,301.2625559742373,291.4269549198154,0.0
596,297.52,295.48,299.89518718030445,286.45981281969557,301.7017504191886,291.9007245170539,0.0
597,299.66,297.78,300.4817916818007,286.8442083181993,302.304954502461,292.5513545600853,0.0
598,299.58,298.2,300.99873497659695,287.41926502340306,302.91723098035163,293.23781447531724,0.0
599,300.73,299.51,301.7648901934157,287.7601098065843,303.6461600448865,294.0677167649691,5.25
600,301.13,300.19,302.323914385576,288.35008561442396,304.2567116680981,294.8098036426568,0.0
601,300.88,299.44,302.50393676264343,289.20406323735654,304.57562448341264,295.26789359411237,0.0
602,299.93,297.74,302.6139756376693,289.6280243623307,304.4932745416609,295.3050927804879,0.0
603,299.25,296.7,302.84228273253484,289.97671726746523,304.6007268663151,295.5029839032735,0.0
604,300.07,296.96,302.9109009511038,290.0390990488962,304.4051442679607,295.354522154309,4.430000000000007
605,298.5,297.04,303.02599012948434,290.3140098705156,304.33453762247797,295.3493924266167,0.0
606,300.03,298.22,303.34660120961274,290.6323987903873,304.6225938028851,295.70598444979163,0.0
607,301.44,299.09,303.4574816223613,291.58951837763874,305.1062551602224,296.2422920354751,0.0
608,301.0,299.11,303.00731675175587,292.99268324824413,305.25699797487954,296.447320684507,0.0
609,302.23,300.62,302.8151422375412,294.23585776245875,305.71358709463846,296.96835824003335,5.189999999999998
610,302.01,300.85,302.5586160500069,295.33838394999304,305.9840443250621,297.3260061517078,0.0
611,301.17,299.49,302.5402755397815,295.86272446021854,306.06951274421345,297.4995498295239,0.0
612,301.2,295.2,302.44218562171545,296.0608143782845,305.6241187704193,296.9994243580534,0.0
613,300.87,293.96,302.80444809064693,295.30255190935316,304.85301533116444,296.0259369902426,0.0
614,294.12,290.9,303.48909101888967,294.03390898111036,303.80092145301035,294.773088446678,11.110000000000014
615,288.21,281.72,306.2832363354812,289.93976366451875,301.41901807062663,292.0853368532636,0.0
616,288.04,284.28,307.0257633568108,288.2582366431892,300.0579490102218,290.4243410169438,0.0
617,288.82,282.04,307.4231127569045,286.7968872430955,298.9733634312903,288.9473664330683,0.0
618,293.62,289.01,307.1968440736735,286.45415592632656,299.0428516848074,288.62302903785667,0.0
619,293.24,289.65,306.8301850746616,285.91781492533846,298.76769444238494,287.9898326034845,11.899999999999977
620,291.6052,287.02,306.60853498091467,284.87146501908535,297.9408926350741,286.80462701637134,0.0
621,294.15,287.36,306.17133118261785,284.59266881738216,298.06575979733725,286.5008651508533,0.0
622,292.4644,283.76,306.5634094779624,282.8165905220375,296.7660057182379,284.654701087195,0.0
623,285.64,282.39,306.48997092825795,281.47202907174204,295.7693824651125,283.19915474460805,0.0
624,289.33,284.7138,306.1803582254998,280.9496417745001,295.6590576074459,282.6608391330104,11.759999999999991
625,293.08,291.44,305.743848328124,280.829151671876,296.14268121592437,282.84395979174775,0.0
626,292.36,289.95,304.9024238940461,280.67657610595387,296.1619347666014,282.64510116432626,0.0
627,292.86,291.72,303.7480027312227,280.93199726877725,296.55609526495766,282.9330270824545,0.0
628,293.93,290.4,302.7827603109385,281.13323968906144,296.8906403440541,283.175668113284,0.0
629,292.76,283.47,301.2705560578621,280.92944394213794,295.979845861125,281.99515931138046,10.45999999999998
630,288.0,285.58,299.42481049389306,281.429189506107,295.7218351656371,281.54982014194456,0.0
631,289.95,286.03,297.43519162989605,282.033808370104,295.31346405229476,280.97416942222935,0.0
632,289.07,285.25,296.1057037100998,282.5092962899002,295.31990557802595,280.8345889148431,0.0
633,293.16,290.61,295.6731173800973,282.7158826199026,295.9546514209606,281.38407123175654,0.0
634,294.2399,291.42,295.64611373533694,282.725886264663,296.4753930149482,281.86154528514163,8.989899999999977
635,301.1378,299.45,304.0947538346435,283.9692461653566,304.8664975847551,291.4834675206444,0.0
636,301.02,299.75,304.94294882511343,283.98005117488657,305.4247572855647,292.30043258159657,0.0
637,301.22,298.24,305.68155649449693,284.3424435055032,305.9293954078405,293.02882988336194,0.0
638,302.63,300.7103,306.3716890925208,284.51531090747926,306.3347988526319,293.66231335685933,0.0
639,300.67,297.41,306.6366816249985,284.8423183750015,306.19434881648715,293.707321902255,5.21999999999997
640,299.0,297.27,306.06100631689384,286.7539936831062,306.0293128459834,293.7415659736377,0.0
641,299.84,294.81,305.61676793083325,287.98523206916684,305.5053218551044,293.3175398675603,0.0
642,298.11,294.33,304.81375398264447,289.86324601735544,305.3588390373936,293.22943945040896,0.0
643,297.86,295.45,304.08311964664773,291.4048803533523,305.10605291500957,293.0454767961484,0.0
644,297.9465,293.69,303.85520496869236,291.9147950313076,304.6228160129153,292.57808223232854,6.149999999999977
645,297.55,295.92,303.5314556365769,292.6705443634231,304.41193579620165,292.4259538140284,0.0
646,298.455,293.0,303.02093768136746,293.43106231863254,303.65201879233746,291.63331913928425,0.0
647,291.51,286.64,304.30535517485663,291.5486448251434,302.1194260718519,290.01202338214625,0.0
648,290.45,284.82,304.7659391875855,290.34806081241453,301.23927154193115,288.9725060342458,0.0
649,294.63,290.82,304.7163013353921,290.02769866460784,301.1674969590055,288.74445445718567,13.634999999999991
650,295.26,292.77,304.6920575777137,289.5399424222863,300.8725799734553,288.3407386541839,0.0
651,291.85,288.49,305.1053537937669,288.16664620623317,299.8303132087571,287.20105006778414,0.0
652,292.3,288.6559,304.8005538236821,287.57344617631793,299.4113149469507,286.6854458635879,0.0
