,SPY_high,SPY_low,ATR,weekly_range
519,259.0098,257.03,5.879664285714294,7.470000000000027
520,263.83,261.79,3.280457142857147,0.0
521,264.55,262.48,3.1918857142857178,0.0
522,268.52,264.25,3.3625999999999983,0.0
523,270.47,267.27,3.329742857142857,0.0
524,271.2,269.18,3.3326142857142833,9.409999999999968
525,272.03,269.36,3.339757142857138,0.0
526,273.44,271.88,3.215471428571423,0.0
527,273.34,271.92,3.2014285714285626,0.0
528,271.55,268.29,3.236428571428559,0.0
529,270.58,267.83,3.145714285714271,5.610000000000014
530,281.31,279.43,2.367292857142855,0.0
531,280.3,278.9,2.355864285714286,0.0
532,279.59,277.48,2.40515,0.0
533,279.45,278.32,2.1680071428571432,0.0
534,280.88,278.82,2.128721428571428,3.829999999999984
535,281.87,276.84,2.3837214285714277,0.0
536,279.76,278.41,2.20157857142857,0.0
537,279.16,276.97,2.2272928571428565,0.0
538,276.99,274.07,2.262292857142857,0.0
539,274.65,272.42,2.230864285714282,9.449999999999989
540,278.62,275.23,2.377292857142858,0.0
541,280.07,278.85,2.3744357142857138,0.0
542,283.3052,280.3,2.49945,0.0
543,281.84,280.6662,2.4434999999999962,0.0
544,282.21,280.33,2.422785714285709,8.075199999999995
545,286.16,284.4,2.9974499999999984,0.0
546,286.23,285.09,2.806364285714287,0.0
547,287.76,285.75,2.86609285714286,0.0
548,287.459,286.01,2.835307142857147,0.0
549,288.63,287.6,2.8417357142857163,4.230000000000018
550,290.435,289.07,1.6089928571428678,0.0
551,293.14,290.42,1.7325642857142936,0.0
552,293.16,292.07,1.6668500000000108,0.0
553,292.78,290.73,1.709778571428578,0.0
554,293.49,291.2401,1.766914285714295,4.420000000000016
555,294.45,293.41,1.7312000000000052,0.0
556,294.34,291.92,1.7547714285714286,0.0
557,294.95,291.8,1.902635714285712,0.0
558,292.7,289.52,2.0396357142857124,0.0
559,294.34,291.2998,2.103921428571421,5.430000000000007
560,293.31,288.9,2.379278571428561,0.0
561,290.81,285.81,2.772135714285704,0.0
562,289.43,286.87,2.7810642857142756,0.0
563,287.33,283.3,2.9646357142857034,0.0
564,288.94,282.3,3.341421428571416,11.009999999999991
565,283.49,279.93,3.7199928571428456,0.0
566,285.1,281.85,3.944992857142844,0.0
567,285.77,281.36,4.113564285714274,0.0
568,289.21,285.76,4.249285714285699,0.0
569,288.6,285.1207,4.4235214285714175,9.279999999999973
570,285.962,283.12,4.453664285714276,0.0
571,286.93,285.55,4.441521428571422,0.0
572,286.69,285.1,4.3279499999999915,0.0
573,283.21,280.57,4.463664285714279,0.0
574,284.2,282.09,4.247949999999995,6.360000000000014
575,276.5521,273.09,3.4148857142857105,0.0
576,280.68,276.62,3.5484571428571394,0.0
577,282.99,280.32,3.424171428571429,0.0
578,285.55,282.57,3.340600000000003,0.0
579,288.85,285.74,3.381364285714288,15.760000000000048
580,290.82,288.8734,3.4047928571428616,0.0
581,291.4,288.1805,3.4219000000000017,0.0
582,289.26,287.815,3.41154285714286,0.0
583,289.98,288.62,3.1636857142857195,0.0
584,289.93,288.41,3.12154285714286,3.5849999999999795
585,290.22,289.18,2.90868571428572,0.0
586,293.57,290.99,2.9629714285714335,0.0
587,293.65,291.47,2.9590428571428578,0.0
588,296.3093,293.1255,2.9204214285714323,0.0
589,295.52,293.76,2.823128571428575,7.129300000000001
590,294.58,293.47,2.465985714285714,0.0
591,293.73,290.64,2.495985714285715,0.0
592,292.31,290.345,2.423485714285712,0.0
593,292.06,290.89,2.2477714285714234,0.0
