,SPY_high,SPY_low,MI,DYMI,weekly_range
258,244.55,243.76,26.103430450145588,58.3361430901736,0.0
259,245.97,244.31,26.07718286117438,59.71139952830651,5.1200000000000045
260,245.91,245.33,25.688845658922652,64.28722595589898,0.0
261,245.72,244.67,25.41867289759974,69.98283602831205,0.0
262,247.0,246.01,25.223356621958057,66.93183071354356,0.0
263,247.42,246.47,25.006161267586023,81.31940868356877,0.0
264,246.91,246.18,24.75764075192098,81.13653494108917,2.75
265,246.98,246.28,24.534357611385385,77.62136573726869,0.0
266,247.8,247.16,24.31624746604248,60.582674437848425,0.0
267,247.79,247.13,24.10652654461209,61.002735440082006,0.0
268,248.0,245.68,24.177349165202976,61.53847770612168,0.0
269,247.06,246.13,24.252609383762614,61.29204095115254,2.319999999999993
270,247.48,246.53,24.31325889977017,80.18801760561135,0.0
271,247.5,246.716,24.29928690579169,71.26069990044493,0.0
272,247.6,246.37,24.212611156183407,75.04033648852113,0.0
273,247.34,246.64,24.077344827116093,71.84888674493406,0.0
274,247.79,246.97,23.68097071973667,59.63480261779698,1.4199999999999875
275,247.87,247.37,23.37990205888346,65.09536272231938,0.0
276,248.91,246.83,23.394444074639637,64.4812664173091,0.0
277,247.31,246.06,23.45935591763155,51.20906866591208,0.0
278,246.44,243.7,23.72059502396165,51.31012905748912,0.0
279,244.8,243.75,23.85066755339676,5.711071019806482,5.210000000000008
280,246.79,245.55,23.99203357414225,19.44309608314049,0.0
281,247.0,246.16,24.016402726991096,50.357429749148224,0.0
282,247.57,246.45,24.086679799389003,48.1806230982082,0.0
283,246.6,243.09,24.491674200427358,55.984481184523965,0.0
284,244.189,242.2,24.797176678807077,27.554358214088722,5.3700000000000045
285,243.2,241.83,25.084266354171927,30.116671555249724,0.0
286,245.62,243.55,25.373847336542774,31.219003916065247,0.0
287,245.05,244.16,25.540190872063945,47.8537749446494,0.0
288,245.18,243.75,25.684939374297166,43.116539086221856,0.0
289,245.61,244.39,25.81904873566533,39.794655483016676,3.789999999999992
290,245.2,244.09,25.93655891037559,46.310088529616806,0.0
291,245.15,242.93,26.17007365549643,46.172487387013774,0.0
292,246.32,244.62,26.413593542353393,54.06958523831296,0.0
293,247.77,246.0473,26.400033994342117,59.89965437975886,0.0
294,248.33,247.67,26.320568779164557,62.676344040402576,5.400000000000006
295,250.12,249.28,24.794814399473605,56.76815257230307,0.0
296,250.07,249.6,24.45145713502608,57.687110445062636,0.0
