,SPY_high,SPY_low,KAMA,DYMI,weekly_range
333,258.39,256.36,257.0105114748016,66.99934540657434,0.0
334,258.2926,257.37,257.0243444563979,60.19217428560675,2.990000000000009
335,258.59,257.27,257.14465952882495,57.86746277521893,0.0
336,257.85,256.52,257.157492631314,66.52108812588716,0.0
337,257.22,255.63,257.13219738375625,56.86145225873409,0.0
338,259.04,257.4748,257.16591334083614,34.10184206662582,0.0
339,258.5882,257.77,257.1750103861387,59.24686030811762,3.410000000000025
340,266.38,265.4793,263.5535613903884,78.97565759573189,0.0
341,267.32,266.345,263.9802970009378,79.41591692738433,0.0
342,267.56,266.65,264.37775565126805,81.70845010407379,0.0
343,267.22,265.6,264.3976162487313,80.69371356310332,0.0
344,267.04,265.39,264.5246704155921,68.0601692209801,2.170000000000016
345,274.1,272.98,269.94336455264863,90.97180640431137,0.0
346,275.25,274.081,271.09883146352973,82.62864739063153,0.0
347,274.42,272.92,271.8264585889646,88.25573003195527,0.0
348,276.12,274.56,272.98283467005365,83.9438133197504,0.0
349,278.11,276.0819,274.38685058130955,87.22596164889441,5.189999999999998
350,286.43,284.5,283.14683266165235,90.16256607886139,0.0
351,284.736,281.22,283.0604841129373,75.82867764339677,0.0
352,283.3,280.68,283.0270021376821,60.8897554056618,0.0
353,283.06,280.68,282.98112482207614,58.921724232379894,0.0
354,280.23,275.41,282.5746981863958,34.70140939873582,11.019999999999982
355,275.85,263.31,278.23804729047106,1.1241255407343829,0.0
356,269.7,258.7,277.2219934406266,0.4292092203337319,0.0
357,272.36,267.58,276.06778244602395,24.87768849349861,0.0
358,268.17,257.59,272.74153222603985,24.471083779571998,0.0
359,263.61,252.92,270.8362472520558,18.855024428067267,22.930000000000035
360,278.01,275.26,272.95279669604736,66.77879951172719,0.0
361,278.92,274.36,273.0962517284547,68.48568888232656,0.0
362,276.19,271.29,273.0356534909708,60.41034954350865,0.0
363,273.17,266.0,272.9702411196464,63.31159864807244,0.0
364,269.72,264.82,272.85794651354655,49.96549963777595,14.100000000000023
365,272.89,267.61,272.85298845243705,49.763043712323864,0.0
366,273.39,271.18,272.85326275758126,56.162745379309854,0.0
367,273.18,270.2,272.85192798276915,54.683828050035316,0.0
368,274.24,272.42,272.8823796175545,50.97248528153083,0.0
369,278.87,275.34,273.0467492935761,54.57663162264611,11.259999999999991
370,279.91,278.0801,273.08314661345355,66.94013748039026,0.0
371,280.41,276.03,273.1471033147713,67.52871639749634,0.0
372,278.02,274.67,273.2175299855029,60.940290511058805,0.0
373,276.61,274.43,273.4395761280709,52.33343457552752,0.0
374,275.39,274.14,273.4970066717411,47.530434385673374,6.270000000000039
375,263.13,254.67,263.74146352521535,34.24479840090211,0.0
376,261.31,256.84,263.59954735709414,28.557591021177117,0.0
377,264.355,256.6,263.59833825092244,36.747482826375126,0.0
378,266.64,264.32,263.63465458692724,42.545890677236,0.0
379,265.11,258.0,263.5759510243785,46.860281452140455,11.969999999999999
380,267.89,265.35,265.1523138696752,57.170358110125576,0.0
381,267.9762,261.28,265.10886589775725,54.180677107968,0.0
382,264.13,260.85,265.1017568250683,41.11395384051143,0.0
383,267.2452,264.29,265.10913960980287,49.97692025782956,0.0
384,267.34,265.5,265.1289423076227,56.85775373634011,7.126199999999983
385,267.89,264.43,265.1110578262887,52.583518536168306,0.0
386,265.1,262.11,265.0997803530396,46.8837091176298,0.0
387,265.68,262.76,264.87014205975856,45.381400169594585,0.0
388,263.36,259.05,264.6291687706842,40.29956280809375,0.0
389,266.7892,261.15,264.63980551963317,34.233495728831045,8.839999999999975
390,268.02,266.11,264.65346780664674,45.48958276162226,0.0
391,267.325,265.15,264.7956326649021,48.85306239593026,0.0
392,269.865,267.09,265.2336307234479,51.21815932143029,0.0
393,272.39,270.22,265.84909255318945,64.64898041467818,0.0
394,273.15,271.58,266.5445504951511,70.95339983750515,8.0
395,274.08,272.36,267.8546246420045,80.48530773223099,0.0
396,271.61,270.03,268.18059370802916,80.28842696701588,0.0
397,272.76,271.11,269.01895228174317,58.95214678740189,0.0
398,273.23,271.13,269.7079753444974,59.44351201842105,0.0
399,272.03,270.93,269.91600770930245,63.77615540160959,4.050000000000011
400,273.98,271.3512,270.4342847168934,67.03091831297198,0.0
401,274.25,272.24,270.6746791855071,62.20556570391315,0.0
402,273.39,270.99,270.8801078043304,73.46815033745213,0.0
403,273.22,270.78,270.90625572923955,71.91502456988509,0.0
404,272.86,271.58,270.9219425843194,66.3062850627163,3.4700000000000273
405,275.185,274.26,271.00825459243407,56.901704086909724,0.0
406,275.53,274.18,271.0803466368355,61.35540890157872,0.0
407,277.52,275.09,271.43262017714454,67.56102186020867,0.0
408,278.28,276.34,271.70601951479637,67.44781000596954,0.0
409,278.25,276.66,272.15458925406887,68.65205851573539,4.099999999999966
410,279.37,278.31,272.74928829610775,68.76082147746702,0.0
411,279.33,278.19,274.3715411728197,69.13706258385082,0.0
412,279.48,277.8,274.87892501579137,69.37691210614885,0.0
413,279.33,278.0599,276.05072251323367,68.70493232583044,0.0
414,277.51,275.35,276.15614980054715,71.03039039358245,4.1299999999999955
415,276.7,274.95,276.17103924008705,68.08898885802212,0.0
416,275.75,273.53,276.16533469299617,58.14067538994226,0.0
417,276.72,275.59,276.15829389937045,55.11588941795939,0.0
418,275.98,273.68,276.003094282456,51.62124590126633,0.0
419,275.785,274.49,275.8767075378439,36.971443354400975,3.1900000000000546
420,273.6162,269.1,274.8614333787456,20.904687856821937,0.0
421,272.56,270.79,274.2409818755937,11.02569809013157,0.0
422,273.865,269.18,273.20660487752303,20.32823870349678,0.0
423,271.75,268.49,272.83542633294195,17.684997181550685,0.0
424,273.66,271.1495,272.6570473417374,27.56757021990788,5.375
425,277.96,276.5,272.6836665990656,88.62015785176418,0.0
426,279.01,278.08,273.66197654565536,91.5821384892909,0.0
427,278.04,276.52,273.88738511763097,67.30050998020438,0.0
428,279.43,277.6,274.9543369017667,60.67627280539497,0.0
429,279.93,278.66,275.77554082238737,66.62276535369087,3.430000000000007
430,279.803,278.84,276.33973837287317,74.48091808858972,0.0
431,280.91,278.41,277.0260464064782,72.46321064375667,0.0
432,281.18,280.06,277.9537931383006,60.5133282373741,0.0
433,280.74,279.46,278.2336171474401,60.04621258724222,0.0
434,280.48,279.5,278.3516366880331,57.32627850692972,2.769999999999982
435,280.43,279.06,278.431744860898,55.922536198312116,0.0
436,282.56,280.63,278.5953542606913,73.85326295160613,0.0
437,284.37,281.28,279.8330160797057,74.92444058761566,0.0
438,284.11,283.09,280.2467134492734,84.6409089588319,0.0
439,283.82,280.38,280.2813483917142,71.21360728349312,5.310000000000002
440,281.69,279.36,280.2782638102603,56.71129252879589,0.0
441,282.02,280.38,280.29067387665947,52.84721881946336,0.0
442,282.13,280.1315,280.2938661105699,54.868995080760754,0.0
